,'LCPI','LIP','FF','GS1','GS2','EBP'
'01-Aug-1975 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Sep-1975 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Oct-1975 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Nov-1975 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Dec-1975 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jan-1976 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Feb-1976 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Mar-1976 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Apr-1976 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-May-1976 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jun-1976 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jul-1976 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Aug-1976 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Sep-1976 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Oct-1976 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Nov-1976 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Dec-1976 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jan-1977 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Feb-1977 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Mar-1977 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Apr-1977 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-May-1977 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jun-1977 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jul-1977 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Aug-1977 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Sep-1977 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Oct-1977 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Nov-1977 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Dec-1977 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Jan-1978 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Feb-1978 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Mar-1978 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-Apr-1978 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
'01-May-1978 00:00:00',NaN,NaN,NaN,NaN,NaN,NaN
