,'LCPI','LIP','FF','GS1','GS2','EBP'
'01-Aug-1996 00:00:00',505.7519,432.5219,5.22,5.67,6.03,-0.436534
'01-Sep-1996 00:00:00',506.0695,433.0516,5.3,5.83,6.23,-0.424425
'01-Oct-1996 00:00:00',506.386,433.0558,5.24,5.55,5.91,-0.381406
'01-Nov-1996 00:00:00',506.7016,433.8742,5.31,5.42,5.7,-0.349662
'01-Dec-1996 00:00:00',506.9533,434.5137,5.29,5.47,5.78,-0.442943
'01-Jan-1997 00:00:00',507.1417,434.627,5.25,5.61,6.01,-0.350262
'01-Feb-1997 00:00:00',507.3297,435.8319,5.19,5.53,5.9,-0.485871
'01-Mar-1997 00:00:00',507.3923,436.5974,5.39,5.8,6.22,-0.512084
'01-Apr-1997 00:00:00',507.4549,436.6422,5.51,5.99,6.45,-0.438469
'01-May-1997 00:00:00',507.4549,437.3299,5.5,5.87,6.28,-0.436481
'01-Jun-1997 00:00:00',507.6423,437.7813,5.56,5.69,6.09,-0.50729
'01-Jul-1997 00:00:00',507.7671,438.3895,5.52,5.54,5.89,-0.525862
'01-Aug-1997 00:00:00',508.0161,439.7059,5.54,5.56,5.94,-0.501028
'01-Sep-1997 00:00:00',508.2646,440.5731,5.54,5.52,5.88,-0.599141
'01-Oct-1997 00:00:00',508.4505,441.2547,5.5,5.46,5.77,-0.47386
'01-Nov-1997 00:00:00',508.5743,442.1395,5.52,5.46,5.71,-0.396917
'01-Dec-1997 00:00:00',508.6361,442.4941,5.5,5.53,5.72,-0.453156
'01-Jan-1998 00:00:00',508.7596,442.9876,5.56,5.24,5.36,-0.374018
'01-Feb-1998 00:00:00',508.7596,443.0764,5.51,5.31,5.42,-0.353293
'01-Mar-1998 00:00:00',508.7596,443.1419,5.49,5.39,5.56,-0.402522
'01-Apr-1998 00:00:00',508.883,443.5221,5.45,5.38,5.56,-0.476149
'01-May-1998 00:00:00',509.1293,444.1902,5.49,5.44,5.59,-0.435831
'01-Jun-1998 00:00:00',509.2523,443.6049,5.56,5.41,5.52,-0.421874
'01-Jul-1998 00:00:00',509.4977,443.179,5.54,5.36,5.46,-0.385605
'01-Aug-1998 00:00:00',509.6201,445.2782,5.55,5.21,5.27,-0.040715
'01-Sep-1998 00:00:00',509.6813,444.9563,5.51,4.71,4.67,-0.103384
'01-Oct-1998 00:00:00',509.9257,445.7471,5.07,4.12,4.09,0.000441
'01-Nov-1998 00:00:00',510.0476,445.6595,4.83,4.53,4.54,0.02907
'01-Dec-1998 00:00:00',510.2303,446.0135,4.68,4.52,4.51,-0.106692
'01-Jan-1999 00:00:00',510.4126,446.4603,4.63,4.51,4.62,-0.124938
'01-Feb-1999 00:00:00',510.4126,446.893,4.76,4.7,4.88,-0.352341
'01-Mar-1999 00:00:00',510.4733,447.1072,4.81,4.78,5.05,-0.275318
'01-Apr-1999 00:00:00',511.1385,447.338,4.74,4.69,4.98,-0.279516
'01-May-1999 00:00:00',511.1988,448.078,4.74,4.85,5.25,-0.279658
'01-Jun-1999 00:00:00',511.1988,447.8864,4.76,5.1,5.62,-0.213867
'01-Jul-1999 00:00:00',511.6196,448.5621,4.99,5.03,5.55,-0.148228
'01-Aug-1999 00:00:00',511.8593,448.9807,5.07,5.2,5.68,-0.147479
'01-Sep-1999 00:00:00',512.2773,448.7011,5.22,5.25,5.66,-0.004159
'01-Oct-1999 00:00:00',512.4559,449.9721,5.2,5.43,5.86,-0.040454
'01-Nov-1999 00:00:00',512.6342,450.4709,5.42,5.55,5.86,-0.078502
'01-Dec-1999 00:00:00',512.8715,451.2643,5.3,5.84,6.1,-0.312901
'01-Jan-2000 00:00:00',513.1672,451.3419,5.45,6.12,6.44,-0.12087
'01-Feb-2000 00:00:00',513.5798,451.7194,5.73,6.22,6.61,-0.10413
'01-Mar-2000 00:00:00',514.1664,452.1182,5.85,6.22,6.53,0.153359
'01-Apr-2000 00:00:00',514.1078,452.7427,6.02,6.15,6.4,0.329846
'01-May-2000 00:00:00',514.2833,452.8928,6.27,6.33,6.81,0.498835
'01-Jun-2000 00:00:00',514.8657,452.9504,6.53,6.17,6.48,0.54953
'01-Jul-2000 00:00:00',515.1556,452.7191,6.54,6.08,6.34,0.607972
'01-Aug-2000 00:00:00',515.1556,452.4523,6.5,6.18,6.23,0.76418
'01-Sep-2000 00:00:00',515.6754,452.9374,6.52,6.13,6.08,0.816644
'01-Oct-2000 00:00:00',515.848,452.4865,6.51,6.01,5.91,1.252061
'01-Nov-2000 00:00:00',516.0204,452.4742,6.51,6.09,5.88,1.288705
'01-Dec-2000 00:00:00',516.2498,452.1549,6.4,5.6,5.35,1.360387
'01-Jan-2001 00:00:00',516.8209,451.4333,5.98,4.81,4.76,0.9097
'01-Feb-2001 00:00:00',517.0484,450.8291,5.49,4.68,4.66,0.935115
'01-Mar-2001 00:00:00',517.1052,450.5573,5.31,4.3,4.34,0.973143
'01-Apr-2001 00:00:00',517.2754,450.2787,4.8,3.98,4.23,0.772219
'01-May-2001 00:00:00',517.7843,449.5496,4.21,3.78,4.26,0.686657
'01-Jun-2001 00:00:00',518.0096,448.879,3.97,3.58,4.08,0.976032
'01-Jul-2001 00:00:00',517.8407,448.4373,3.77,3.62,4.04,0.563165
'01-Aug-2001 00:00:00',517.8407,448.1802,3.65,3.47,3.76,0.60858
'01-Sep-2001 00:00:00',518.2345,447.8535,3.07,2.82,3.12,0.998345
'01-Oct-2001 00:00:00',517.9534,447.3623,2.49,2.33,2.73,0.865248
'01-Nov-2001 00:00:00',517.897,446.8214,2.09,2.18,2.78,-0.427836
'01-Dec-2001 00:00:00',517.8407,446.8461,1.82,2.22,3.11,0.359763
'01-Jan-2002 00:00:00',518.0096,447.4606,1.73,2.16,3.03,0.500767
'01-Feb-2002 00:00:00',518.1783,447.4206,1.74,2.23,3.02,0.71221
'01-Mar-2002 00:00:00',518.4589,448.1587,1.73,2.57,3.56,0.266711
'01-Apr-2002 00:00:00',518.9061,448.5763,1.75,2.48,3.42,0.385478
'01-May-2002 00:00:00',519.0175,449.091,1.75,2.35,3.26,0.414249
'01-Jun-2002 00:00:00',519.0732,450.0637,1.75,2.2,2.99,0.751762
'01-Jul-2002 00:00:00',519.2957,449.7277,1.73,1.96,2.56,1.168366
'01-Aug-2002 00:00:00',519.5731,449.8651,1.74,1.76,2.13,1.19177
'01-Sep-2002 00:00:00',519.7391,449.9171,1.75,1.72,2,1.305279
'01-Oct-2002 00:00:00',519.9601,449.5853,1.75,1.65,1.91,1.110808
'01-Nov-2002 00:00:00',520.1255,450.1314,1.34,1.49,1.92,0.784568
'01-Dec-2002 00:00:00',520.2907,449.6793,1.24,1.45,1.84,0.661981
'01-Jan-2003 00:00:00',520.7298,450.3762,1.24,1.36,1.74,0.589204
'01-Feb-2003 00:00:00',521.2759,450.7451,1.26,1.3,1.63,0.394674
'01-Mar-2003 00:00:00',521.4392,450.5461,1.25,1.24,1.57,-0.153522
'01-Apr-2003 00:00:00',521.0579,449.7249,1.26,1.27,1.62,-0.138374
'01-May-2003 00:00:00',520.894,449.7112,1.26,1.18,1.42,-0.854259
'01-Jun-2003 00:00:00',521.0032,449.7197,1.22,1.01,1.23,-0.561209
'01-Jul-2003 00:00:00',521.3304,450.0717,1.01,1.12,1.47,-1.32735
'01-Aug-2003 00:00:00',521.765,449.9524,1.03,1.31,1.86,-0.225067
'01-Sep-2003 00:00:00',522.0896,450.5585,1.01,1.24,1.71,-0.694795
'01-Oct-2003 00:00:00',521.9815,450.5222,1.01,1.25,1.75,-0.543412
'01-Nov-2003 00:00:00',522.0356,451.2759,1,1.34,1.93,-0.540053
'01-Dec-2003 00:00:00',522.3055,451.1935,0.98,1.31,1.91,-0.49322
'01-Jan-2004 00:00:00',522.7358,451.4847,1,1.24,1.76,-0.711418
'01-Feb-2004 00:00:00',522.9503,452.0488,1.01,1.24,1.74,-0.286728
'01-Mar-2004 00:00:00',523.1643,451.5114,1,1.19,1.58,-0.533865
'01-Apr-2004 00:00:00',523.3245,451.918,1,1.43,2.07,-0.740573
'01-May-2004 00:00:00',523.7505,452.6421,1,1.78,2.53,-0.323436
'01-Jun-2004 00:00:00',524.1218,451.8477,1.03,2.12,2.76,-0.333673
'01-Jul-2004 00:00:00',524.2276,452.628,1.26,2.1,2.64,-0.306482
'01-Aug-2004 00:00:00',524.2805,452.8055,1.43,2.02,2.51,-0.461368
'01-Sep-2004 00:00:00',524.5971,452.8458,1.61,2.12,2.53,-0.598777
'01-Oct-2004 00:00:00',525.1226,453.7961,1.76,2.23,2.58,-0.574809
'01-Nov-2004 00:00:00',525.5931,453.9955,1.93,2.5,2.85,-0.701047
'01-Dec-2004 00:00:00',525.5931,454.6688,2.16,2.67,3.01,-0.85373
'01-Jan-2005 00:00:00',525.541,455.0793,2.28,2.86,3.22,-0.806862
'01-Feb-2005 00:00:00',525.9576,455.7046,2.5,3.03,3.38,-1.09208
'01-Mar-2005 00:00:00',526.3208,455.6424,2.63,3.3,3.73,-0.730689
'01-Apr-2005 00:00:00',526.631,455.7303,2.79,3.32,3.65,-0.53511
'01-May-2005 00:00:00',526.5794,455.9126,3,3.33,3.64,-0.386019
'01-Jun-2005 00:00:00',526.631,456.3306,3.04,3.36,3.64,-0.564386
'01-Jul-2005 00:00:00',527.2487,456.1933,3.26,3.64,3.87,-0.653742
'01-Aug-2005 00:00:00',527.8625,456.3185,3.5,3.87,4.04,-0.721005
'01-Sep-2005 00:00:00',529.2299,454.3458,3.62,3.85,3.95,-0.555723
'01-Oct-2005 00:00:00',529.3807,455.5812,3.78,4.18,4.27,-0.455134
'01-Nov-2005 00:00:00',528.8772,456.5519,4,4.33,4.42,-0.386568
'01-Dec-2005 00:00:00',528.8772,457.1202,4.16,4.35,4.4,-0.394374
'01-Jan-2006 00:00:00',529.4811,457.2172,4.29,4.45,4.4,-0.457407
'01-Feb-2006 00:00:00',529.5313,457.2976,4.49,4.68,4.67,-0.348597
'01-Mar-2006 00:00:00',529.6816,457.5475,4.59,4.77,4.73,-0.515825
'01-Apr-2006 00:00:00',530.1812,457.9338,4.79,4.9,4.89,-0.529815
'01-May-2006 00:00:00',530.4796,457.8226,4.94,5,4.97,-0.400727
'01-Jun-2006 00:00:00',530.7277,458.207,4.99,5.16,5.12,-0.449069
'01-Jul-2006 00:00:00',531.2713,458.2554,5.24,5.22,5.12,-0.378634
'01-Aug-2006 00:00:00',531.7139,458.4621,5.25,5.08,4.9,-0.423245
'01-Sep-2006 00:00:00',531.222,458.3303,5.25,4.97,4.77,-0.522988
'01-Oct-2006 00:00:00',530.7772,458.2364,5.25,5.01,4.8,-0.540093
'01-Nov-2006 00:00:00',530.8268,458.1201,5.25,5.01,4.74,-0.52448
'01-Dec-2006 00:00:00',531.3699,459.139,5.24,4.94,4.67,-0.661607
'01-Jan-2007 00:00:00',531.5356,458.6607,5.25,5.06,4.88,-0.678331
'01-Feb-2007 00:00:00',531.9227,459.7701,5.26,5.05,4.85,-0.735689
'01-Mar-2007 00:00:00',532.4414,459.8443,5.26,4.92,4.57,-0.48584
'01-Apr-2007 00:00:00',532.741,460.5682,5.25,4.93,4.67,-0.485028
'01-May-2007 00:00:00',533.1534,460.6279,5.25,4.91,4.77,-0.736344
'01-Jun-2007 00:00:00',533.3848,460.6328,5.25,4.96,4.98,-0.495324
'01-Jul-2007 00:00:00',533.5627,460.6604,5.26,4.96,4.82,-0.084556
'01-Aug-2007 00:00:00',533.5936,460.7866,5.02,4.47,4.31,0.082753
'01-Sep-2007 00:00:00',534.0164,461.2293,4.94,4.14,4.01,-0.001109
'01-Oct-2007 00:00:00',534.3243,460.7391,4.76,4.1,3.97,-0.081753
'01-Nov-2007 00:00:00',535.1071,461.3191,4.49,3.5,3.34,0.214839
'01-Dec-2007 00:00:00',535.3965,461.3337,4.24,3.26,3.12,0.385475
'01-Jan-2008 00:00:00',535.7407,461.0136,3.94,2.71,2.48,0.67884
'01-Feb-2008 00:00:00',535.9822,460.8174,2.98,2.05,1.97,0.848258
'01-Mar-2008 00:00:00',536.3393,460.5248,2.61,1.54,1.62,1.091471
'01-Apr-2008 00:00:00',536.5705,459.7413,2.28,1.74,2.05,0.59478
'01-May-2008 00:00:00',537.1605,459.2745,1.98,2.06,2.45,0.628826
'01-Jun-2008 00:00:00',538.2029,459.0705,2,2.42,2.77,0.704856
'01-Jul-2008 00:00:00',538.9145,458.6173,2.01,2.28,2.57,1.056176
'01-Aug-2008 00:00:00',538.7655,457.0016,2,2.18,2.42,1.150368
'01-Sep-2008 00:00:00',538.851,452.6987,1.81,1.91,2.08,1.494335
'01-Oct-2008 00:00:00',537.9874,453.523,0.97,1.42,1.61,2.970945
'01-Nov-2008 00:00:00',536.201,452.3573,0.39,1.07,1.21,2.001412
'01-Dec-2008 00:00:00',535.3743,449.4944,0.16,0.49,0.82,2.23929
'01-Jan-2009 00:00:00',535.636,447.2188,0.15,0.44,0.81,2.176283
'01-Feb-2009 00:00:00',536.0461,446.576,0.22,0.62,0.98,2.601959
'01-Mar-2009 00:00:00',535.905,445.028,0.18,0.64,0.93,2.132363
'01-Apr-2009 00:00:00',535.9681,444.1865,0.15,0.55,0.93,1.926129
'01-May-2009 00:00:00',536.1283,443.1611,0.18,0.5,0.93,0.983595
'01-Jun-2009 00:00:00',536.9666,442.7922,0.21,0.51,1.18,0.632751
'01-Jul-2009 00:00:00',536.9335,443.6534,0.16,0.48,1.02,0.07803
'01-Aug-2009 00:00:00',537.2692,444.7011,0.16,0.46,1.12,-0.228104
'01-Sep-2009 00:00:00',537.4723,445.3803,0.15,0.4,0.96,-0.144004
'01-Oct-2009 00:00:00',537.7507,445.6938,0.12,0.37,0.95,-0.348584
'01-Nov-2009 00:00:00',538.0657,446.1755,0.12,0.31,0.8,-0.151492
'01-Dec-2009 00:00:00',538.1578,446.6409,0.12,0.37,0.87,-0.569734
'01-Jan-2010 00:00:00',538.2098,447.6927,0.11,0.35,0.93,-0.229574
'01-Feb-2010 00:00:00',538.1537,448.0764,0.13,0.35,0.86,0.036577
'01-Mar-2010 00:00:00',538.1647,448.8305,0.16,0.4,0.96,-0.093996
'01-Apr-2010 00:00:00',538.1191,449.1636,0.2,0.45,1.06,-0.227013
'01-May-2010 00:00:00',538.0956,450.7286,0.2,0.37,0.83,-0.177303
'01-Jun-2010 00:00:00',538.1412,450.9478,0.18,0.32,0.72,-0.040396
'01-Jul-2010 00:00:00',538.3072,451.531,0.18,0.29,0.62,0.16767
'01-Aug-2010 00:00:00',538.4587,451.7967,0.19,0.26,0.52,-0.489363
'01-Sep-2010 00:00:00',538.5957,452.0515,0.19,0.26,0.48,-0.085991
'01-Oct-2010 00:00:00',538.9053,451.7087,0.19,0.23,0.38,-0.035421
'01-Nov-2010 00:00:00',539.122,451.9781,0.19,0.25,0.45,-0.155059
'01-Dec-2010 00:00:00',539.5753,452.9611,0.18,0.29,0.62,-0.403172
'01-Jan-2011 00:00:00',539.8466,452.8384,0.17,0.27,0.61,0.081907
'01-Feb-2011 00:00:00',540.2263,452.3687,0.16,0.29,0.77,-0.217003
'01-Mar-2011 00:00:00',540.7647,453.3821,0.14,0.26,0.7,-0.250326
'01-Apr-2011 00:00:00',541.1106,452.8035,0.1,0.25,0.73,-0.216373
'01-May-2011 00:00:00',541.4976,453.1659,0.09,0.19,0.56,-0.084545
'01-Jun-2011 00:00:00',541.6412,453.3431,0.09,0.18,0.41,0.081981
'01-Jul-2011 00:00:00',541.8737,453.9124,0.07,0.19,0.41,-0.020915
'01-Aug-2011 00:00:00',542.1362,454.4583,0.1,0.11,0.23,-0.250424
'01-Sep-2011 00:00:00',542.3861,454.5649,0.08,0.1,0.21,0.289268
'01-Oct-2011 00:00:00',542.3751,455.1214,0.07,0.11,0.28,-0.306556
'01-Nov-2011 00:00:00',542.5166,455.3454,0.08,0.11,0.25,0.382049
'01-Dec-2011 00:00:00',542.5554,455.9377,0.07,0.12,0.26,0.10295
'01-Jan-2012 00:00:00',542.7612,456.6387,0.08,0.12,0.24,0.030121
'01-Feb-2012 00:00:00',543.0455,457.1274,0.1,0.16,0.28,-0.121284
'01-Mar-2012 00:00:00',543.3503,456.5798,0.13,0.19,0.34,-0.529989
'01-Apr-2012 00:00:00',543.3508,457.3238,0.14,0.18,0.29,-0.367213
'01-May-2012 00:00:00',543.2184,457.5785,0.16,0.19,0.29,-0.350847
'01-Jun-2012 00:00:00',543.339,457.6073,0.16,0.19,0.29,-0.067985
'01-Jul-2012 00:00:00',543.1903758,460.790245,0.16,0.19,0.25,NaN
'01-Aug-2012 00:00:00',543.7692278,460.349879,0.13,0.18,0.27,NaN
'01-Sep-2012 00:00:00',544.2867826,460.4358857,0.14,0.18,0.26,NaN
'01-Oct-2012 00:00:00',544.5620369,460.7046425,0.16,0.18,0.28,NaN
'01-Nov-2012 00:00:00',544.3291787,461.158457,0.16,0.18,0.27,NaN
'01-Dec-2012 00:00:00',544.3131741,461.3713587,0.16,0.16,0.26,NaN
'01-Jan-2013 00:00:00',544.4337944,461.445693,0.14,0.15,0.27,NaN
'01-Feb-2013 00:00:00',545.0192602,461.8505869,0.15,0.16,0.27,NaN
'01-Mar-2013 00:00:00',544.7792849,462.0659603,0.14,0.15,0.26,NaN
'01-Apr-2013 00:00:00',544.5322578,462.0438037,0.15,0.12,0.23,NaN
'01-May-2013 00:00:00',544.6694267,461.9752348,0.11,0.12,0.25,NaN
'01-Jun-2013 00:00:00',544.9247151,462.1654569,0.09,0.14,0.33,NaN
'01-Jul-2013 00:00:00',545.0952613,461.7775405,0.09,0.12,0.34,NaN
'01-Aug-2013 00:00:00',545.2809417,462.5406053,0.08,0.13,0.36,NaN
'01-Sep-2013 00:00:00',545.4350559,463.1189723,0.08,0.12,0.4,NaN
'01-Oct-2013 00:00:00',545.49065,463.1358265,0.09,0.12,0.34,NaN
'01-Nov-2013 00:00:00',545.5483495,463.3916037,0.08,0.12,0.3,NaN
'01-Dec-2013 00:00:00',545.8295321,463.6561289,0.09,0.13,0.34,NaN
'01-Jan-2014 00:00:00',546.0130047,463.4774618,0.07,0.12,0.39,NaN
'01-Feb-2014 00:00:00',546.1099261,464.2542076,0.07,0.12,0.33,NaN
'01-Mar-2014 00:00:00',546.2941578,465.0731333,0.08,0.13,0.4,NaN
'01-Apr-2014 00:00:00',546.4848237,465.2621359,0.09,0.11,0.42,NaN
'01-May-2014 00:00:00',546.7849148,465.6301417,0.09,0.1,0.39,NaN
'01-Jun-2014 00:00:00',546.9527419,466.0756253,0.1,0.1,0.45,NaN
'01-Jul-2014 00:00:00',547.0571752,466.4196354,0.09,0.11,0.51,NaN
'01-Aug-2014 00:00:00',546.9784392,466.4512103,0.09,0.11,0.47,NaN
'01-Sep-2014 00:00:00',547.0698009,466.9811202,0.09,0.11,0.57,NaN
'01-Oct-2014 00:00:00',547.123232,467.1391353,0.09,0.1,0.45,NaN
'01-Nov-2014 00:00:00',546.8342802,468.0273948,0.09,0.13,0.53,NaN
'01-Dec-2014 00:00:00',546.5034471,468.130496,0.12,0.21,0.64,NaN
'01-Jan-2015 00:00:00',545.8210101,467.8423436,0.11,0.2,0.55,NaN
'01-Feb-2015 00:00:00',546.037669,467.6902768,0.11,0.22,0.62,NaN
'01-Mar-2015 00:00:00',546.2729503,467.5045068,0.11,0.25,0.64,NaN
'01-Apr-2015 00:00:00',546.3755531,467.3388491,0.12,0.23,0.54,NaN
'01-May-2015 00:00:00',546.8190934,466.9832762,0.12,0.24,0.61,NaN
'01-Jun-2015 00:00:00',547.137111,466.9672456,0.13,0.28,0.69,NaN
'01-Jul-2015 00:00:00',547.2686554,467.7561543,0.13,0.3,0.67,NaN
'01-Aug-2015 00:00:00',547.1980716,467.9097928,0.14,0.38,0.7,NaN
'01-Sep-2015 00:00:00',547.044548,467.7856362,0.14,0.37,0.71,NaN
'01-Oct-2015 00:00:00',547.2447129,467.4117723,0.12,0.26,0.64,NaN
'01-Nov-2015 00:00:00',547.2736952,466.8463244,0.12,0.48,0.88,NaN
'01-Dec-2015 00:00:00',NaN,NaN,0.24,0.65,0.98,NaN
